no,farm_id,name,si,dong,address,latitude,longitude,area,is_wifi,is_power,research_year,slope,maintenance,cultivar,mulching,umbrella,spring_cooler,drip_hose,frost_fan,windscreent
14,nab,무기명농가,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 수망리 179-1,33.24847,126.446114,1940,N,Y,2021,0,Y,궁천,Y,N,N,Y,Y,N
15,oab,은혜농장,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 신례리 883-2,33.257206,126.455849,2400,N,Y,2021,0,Y,"궁천,극조생",Y,N,N,Y,N,N
16,pab,훈이농장,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 신례리 1702,33.242012,126.380173,3500,Y,Y,2021,2,Y,궁천,Y,N,Y,Y,N,N
17,qab,무기명농가,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 수망리 242,33.327492,126.721321,2240,N,Y,2021,0,Y,궁천,Y,N,N,Y,Y,N
18,rab,온새미농장,서귀포시,중문동,제주특별자치도 서귀포시 중문동 906,33.313972,126.762779,7620,Y,Y,2021,1,Y,궁천,Y,N,Y,Y,Y,N
19,sab,창조,서귀포시,회수동,제주특별자치도 서귀포시 회수동 234-1,33.299995,126.629791,9800,N,Y,2021,2,Y,궁천,Y,N,N,N,N,Y
20,tab,효우농장,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 신천리 758-1,33.435211,126.344612,8044,N,Y,2021,0,Y,"극조생,궁천,온주",Y,Y,N,Y,N,N
21,uab,돌코랑농장,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 태흥리 185-1,33.337627,126.610199,5000,N,Y,2021,0,Y,"궁천,하례",Y,N,N,Y,Y,N
22,vab,퐁낭농원,제주시,삼양동,제주특별자치도 제주시 삼양일동 415,33.506042,126.642448,6200,N,Y,2021,0,Y,하례조생,Y,N,N,Y,Y,N
23,wab,남원농가,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 상창리 371-2,33.326878,126.713615,1300,N,Y,2021,0,Y,"궁천,일남일호",Y,N,N,Y,Y,N
24,xab,세븐농원,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 신흥리 1799,33.310963,126.726318,11600,Y,Y,2021,0,Y,"조생,궁천",Y,Y,N,Y,N,N
25,yab,감귤정원,서귀포시,표선면,제주특별자치도 서귀포시 표선면 표선리 1844-1,33.236855,126.376244,1120,Y,Y,2021,0,Y,"유라,궁천",Y,Y,N,Y,N,N
26,zab,샛별한라봉농장,서귀포시,상효동,제주특별자치도 서귀포시 상효동 11-1,33.306034,126.658089,5300,N,Y,2021,0,Y,궁천,Y,N,N,Y,N,N
27,abb,달빛가애 농장,제주시,애월읍,제주특별자치도 제주시 애월읍 상가리 산11-4,33.263222,126.301018,9000,N,Y,2021,0,Y,"흥진,일남일호",Y,Y,N,Y,N,N
28,bbb,현우네 감귤,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 의귀리 403,33.267059,126.433563,10000,Y,Y,2021,0,Y,궁천,Y,Y,N,N,Y,Y
29,cbb,난드르해수,서귀포시,하예동,제주특별자치도 서귀포시 하예동 1645,33.271103,126.44664,9850,N,Y,2021,0,Y,궁천,Y,N,N,N,N,N
30,dbb,위미 4225,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 위미리 4225,33.355137,126.848625,2500,N,Y,2021,2,Y,"궁천,조생",Y,N,Y,N,N,N
