citrus_id,farm_id,month,week,research_day,tag,brix,size
lks,aab,10,4,2021.10.21,47,8.62,56.14
mks,aab,10,4,2021.10.21,48,9.22,57.06
nks,aab,10,4,2021.10.21,49,9.79,56.64
oks,aab,10,4,2021.10.21,50,9.6,55.67
pks,aab,10,4,2021.10.21,51,9.54,55.51
qks,aab,10,4,2021.10.21,52,9.18,54.55
rks,aab,10,4,2021.10.21,53,8.47,51.28
sks,aab,10,4,2021.10.21,54,9.49,54.8
tks,aab,10,4,2021.10.21,55,9.6,54.66
uks,aab,10,4,2021.10.21,56,9.42,55.85
vks,aab,10,4,2021.10.21,57,10.31,56.8
wks,aab,10,4,2021.10.21,58,9.82,55.39
xks,aab,10,4,2021.10.21,59,10.08,56.11
yks,aab,10,4,2021.10.21,60,10.92,52.58
zks,aab,10,4,2021.10.21,61,10.7,56.02
als,aab,10,4,2021.10.21,62,9.06,57.75
bls,aab,10,4,2021.10.21,63,9.36,55.6
cls,aab,10,4,2021.10.21,64,9.87,54.9
dls,aab,10,4,2021.10.21,65,9.31,56.68
els,aab,10,4,2021.10.21,66,9.71,54.87
fls,aab,10,4,2021.10.21,67,9.07,60.05
gls,aab,10,4,2021.10.21,68,8.62,58.81
hls,aab,10,4,2021.10.21,69,9.91,51.56
ils,aab,10,4,2021.10.21,70,9.51,49.06
jls,aab,10,4,2021.10.21,71,8.98,52.95
kls,aab,10,4,2021.10.21,72,8.83,59.17
lls,aab,10,4,2021.10.21,73,9.07,52.78
mls,aab,10,4,2021.10.21,74,8.91,59.35
nls,aab,10,4,2021.10.21,75,9.2,58.86
ols,aab,10,4,2021.10.21,76,8.91,50.6
pls,aab,10,4,2021.10.21,77,8.81,60.68
qls,aab,10,4,2021.10.21,78,9.24,58.44
rls,aab,10,4,2021.10.21,79,8.74,53.67
sls,aab,10,4,2021.10.21,80,9.54,56.29
tls,aab,10,4,2021.10.21,81,10.07,52.64
uls,aab,10,4,2021.10.21,82,9.79,54.34
vls,aab,10,4,2021.10.21,83,10,57
wls,aab,10,4,2021.10.21,84,10.03,57.99
xls,aab,10,4,2021.10.21,85,9.91,56.32
yls,aab,10,4,2021.10.21,86,9.78,53.69
zls,aab,10,4,2021.10.21,87,9.89,54.77
ams,aab,10,4,2021.10.21,88,10.1,58.63
bms,aab,10,4,2021.10.21,89,10.02,56.58
cms,aab,10,4,2021.10.21,90,8.37,56.73
dms,aab,10,4,2021.10.21,91,10.29,61.58
ems,aab,10,4,2021.10.21,92,9.17,57.46
fms,aab,10,4,2021.10.21,93,7.97,54.99
gms,aab,10,4,2021.10.21,94,10.11,54.75
hms,aab,10,4,2021.10.21,95,10.41,56.67
ims,aab,10,4,2021.10.21,96,11.26,50.95
jms,aab,10,4,2021.10.21,97,10.99,55.36
kms,aab,10,4,2021.10.21,98,10.93,50.06
lms,aab,10,4,2021.10.21,99,10.91,57.38
mms,aab,10,4,2021.10.21,100,10.99,50.53
jqs,aab,11,1,2021.11.3,1,10.49,49.77
kqs,aab,11,1,2021.11.3,2,10.31,56.2
lqs,aab,11,1,2021.11.3,3,10.73,51.92
mqs,aab,11,1,2021.11.3,4,10.79,52.73
nqs,aab,11,1,2021.11.3,5,10.63,49.89
oqs,aab,11,1,2021.11.3,6,10.03,50.37
pqs,aab,11,1,2021.11.3,7,10.39,52.19
qqs,aab,11,1,2021.11.3,8,9.07,58.96
rqs,aab,11,1,2021.11.3,9,11.67,51.66
sqs,aab,11,1,2021.11.3,10,11.79,52.27
tqs,aab,11,1,2021.11.3,11,11.39,47.05
uqs,aab,11,1,2021.11.3,12,11.39,54.01
vqs,aab,11,1,2021.11.3,13,10.29,52.16
wqs,aab,11,1,2021.11.3,14,10.4,57.38
xqs,aab,11,1,2021.11.3,15,9.77,55.34
yqs,aab,11,1,2021.11.3,16,11.88,47.47
zqs,aab,11,1,2021.11.3,17,11.03,49.7
ars,aab,11,1,2021.11.3,18,11.56,49.72
brs,aab,11,1,2021.11.3,19,12.06,50.88
crs,aab,11,1,2021.11.3,20,11.06,47.6
drs,aab,11,1,2021.11.3,21,9.67,56.47
ers,aab,11,1,2021.11.3,22,10.74,53.58
frs,aab,11,1,2021.11.3,23,11.82,53.07
grs,aab,11,1,2021.11.3,24,11.88,53.14
hrs,aab,11,1,2021.11.3,25,11.77,53.49
irs,aab,11,1,2021.11.3,26,11.3,51.09
jrs,aab,11,1,2021.11.3,27,11.52,51.09
krs,aab,11,1,2021.11.3,28,11.08,51.87
lrs,aab,11,1,2021.11.3,29,11.23,53.3
mrs,aab,11,1,2021.11.3,30,11.72,51.59
nrs,aab,11,1,2021.11.3,31,12.2,54.66
ors,aab,11,1,2021.11.3,32,11.79,49.79
prs,aab,11,1,2021.11.3,33,11.88,54.74
qrs,aab,11,1,2021.11.3,34,10.59,49.75
rrs,aab,11,1,2021.11.3,35,10.52,55.59
srs,aab,11,1,2021.11.3,36,10.72,52.36
trs,aab,11,1,2021.11.3,37,10.52,51.83
urs,aab,11,1,2021.11.3,38,9.76,53.86
vrs,aab,11,1,2021.11.3,39,10.21,49.57
wrs,aab,11,1,2021.11.3,40,10.37,55.47
xrs,aab,11,1,2021.11.3,41,10.61,49.73
yrs,aab,11,1,2021.11.3,42,10.39,51.27
zrs,aab,11,1,2021.11.3,43,10.29,51.64
ass,aab,11,1,2021.11.3,44,8.93,50.36
bss,aab,11,1,2021.11.3,45,10.31,50.69
css,aab,11,1,2021.11.3,46,10.26,50.89
dss,aab,11,1,2021.11.3,47,10.64,55.02
ess,aab,11,1,2021.11.3,48,10.53,51.3
fss,aab,11,1,2021.11.3,49,10.06,50.71
gss,aab,11,1,2021.11.3,50,10.76,55.59
hss,aab,11,1,2021.11.3,51,9.56,54.67
iss,aab,11,1,2021.11.3,52,9.98,47.18
jss,aab,11,1,2021.11.3,53,9.87,50.25
kss,aab,11,1,2021.11.3,54,10.29,53.22
lss,aab,11,1,2021.11.3,55,10.13,55.63
mss,aab,11,1,2021.11.3,56,9.36,53.78
nss,aab,11,1,2021.11.3,57,9.82,54.46
oss,aab,11,1,2021.11.3,58,9.92,51.55
pss,aab,11,1,2021.11.3,59,10.01,47.1
qss,aab,11,1,2021.11.3,60,10.14,53.29
rss,aab,11,1,2021.11.3,61,10.3,50.07
sss,aab,11,1,2021.11.3,62,9.44,47.88
tss,aab,11,1,2021.11.3,63,10.64,48.03
uss,aab,11,1,2021.11.3,64,10.68,52.1
vss,aab,11,1,2021.11.3,65,9.84,56.62
wss,aab,11,1,2021.11.3,66,10.53,52.2
xss,aab,11,1,2021.11.3,67,10.18,51.78
yss,aab,11,1,2021.11.3,68,10.57,51.84
zss,aab,11,1,2021.11.3,69,10.06,51.06
ats,aab,11,1,2021.11.3,70,10.19,50.34
bts,aab,11,1,2021.11.3,71,9.46,54.18
cts,aab,11,1,2021.11.3,72,9.87,48.32
dts,aab,11,1,2021.11.3,73,9.74,55.21
ets,aab,11,1,2021.11.3,74,9.61,48.54
fts,aab,11,1,2021.11.3,75,9.71,54.07
gts,aab,11,1,2021.11.3,76,10.62,51.36
hts,aab,11,1,2021.11.3,77,10.3,53.56
its,aab,11,1,2021.11.3,78,10.16,57.2
jts,aab,11,1,2021.11.3,79,9.84,53.94
kts,aab,11,1,2021.11.3,80,9.93,53.46
lts,aab,11,1,2021.11.3,81,9.72,54.4
mts,aab,11,1,2021.11.3,82,9.71,52.2
nts,aab,11,1,2021.11.3,83,9.47,46.21
ots,aab,11,1,2021.11.3,84,9.58,53.76
pts,aab,11,1,2021.11.3,85,9.38,50.1
qts,aab,11,1,2021.11.3,86,9.42,52.67
rts,aab,11,1,2021.11.3,87,9.3,49.88
sts,aab,11,1,2021.11.3,88,10.07,51.58
tts,aab,11,1,2021.11.3,89,10.07,53.59
uts,aab,11,1,2021.11.3,90,9.39,55.93
vts,aab,11,1,2021.11.3,91,9.53,48.25
wts,aab,11,1,2021.11.3,92,9.67,52.5
xts,aab,11,1,2021.11.3,93,9.72,51.1
yts,aab,11,1,2021.11.3,94,9.5,51.26
zts,aab,11,1,2021.11.3,95,9.56,49.11
aus,aab,11,1,2021.11.3,96,9.54,48.92
bus,aab,11,1,2021.11.3,97,9.82,52.21
cus,aab,11,1,2021.11.3,98,9.46,56.87
dus,aab,11,1,2021.11.3,99,9.62,55.37
eus,aab,11,1,2021.11.3,100,9.81,48.16
fus,aab,11,3,2021.11.15,1,10.08,44.18
gus,aab,11,3,2021.11.15,2,10,45.01
hus,aab,11,3,2021.11.15,3,11.04,45.43
ius,aab,11,3,2021.11.15,4,10.41,44.17
jus,aab,11,3,2021.11.15,5,11.98,45.34
kus,aab,11,3,2021.11.15,6,10.99,45.36
lus,aab,11,3,2021.11.15,7,12.33,44.64
mus,aab,11,3,2021.11.15,8,10.24,44.16
nus,aab,11,3,2021.11.15,9,10.23,42.91
ous,aab,11,3,2021.11.15,10,11.7,47.95
pus,aab,11,3,2021.11.15,11,10.13,45.71
qus,aab,11,3,2021.11.15,12,11.93,44.37
rus,aab,11,3,2021.11.15,13,12.08,44.78
sus,aab,11,3,2021.11.15,14,9.82,42.59
tus,aab,11,3,2021.11.15,15,10.18,42.12
uus,aab,11,3,2021.11.15,16,9.5,46.27
vus,aab,11,3,2021.11.15,17,9.28,45.1
wus,aab,11,3,2021.11.15,18,10.84,45.33
xus,aab,11,3,2021.11.15,19,12.26,44.66
yus,aab,11,3,2021.11.15,20,11.62,43.34
zus,aab,11,3,2021.11.15,21,10.61,43.81
avs,aab,11,3,2021.11.15,22,11.03,43.14
bvs,aab,11,3,2021.11.15,23,10.72,43.65
cvs,aab,11,3,2021.11.15,24,10.63,44.4
dvs,aab,11,3,2021.11.15,25,11.07,44.49
evs,aab,11,3,2021.11.15,26,10.68,42.81
fvs,aab,11,3,2021.11.15,27,10.5,43.08
gvs,aab,11,3,2021.11.15,28,10.83,43.63
hvs,aab,11,3,2021.11.15,29,10.94,43.79
ivs,aab,11,3,2021.11.15,30,10.88,42.78
jvs,aab,11,3,2021.11.15,31,11.16,46.33
kvs,aab,11,3,2021.11.15,32,11.19,46.01
lvs,aab,11,3,2021.11.15,33,11.29,46.55
mvs,aab,11,3,2021.11.15,34,10.69,46.53
nvs,aab,11,3,2021.11.15,35,10.93,44.97
ovs,aab,11,3,2021.11.15,36,10.52,46.76
pvs,aab,11,3,2021.11.15,37,10.78,45.35
qvs,aab,11,3,2021.11.15,38,10.62,45.3
rvs,aab,11,3,2021.11.15,39,10.84,47.54
svs,aab,11,3,2021.11.15,40,11.1,45.03
tvs,aab,11,3,2021.11.15,41,10.63,44.53
uvs,aab,11,3,2021.11.15,42,10.89,43.67
vvs,aab,11,3,2021.11.15,43,10.52,46.55
wvs,aab,11,3,2021.11.15,44,11.04,43.57
xvs,aab,11,3,2021.11.15,45,10.49,43.85
yvs,aab,11,3,2021.11.15,46,11.04,45.01
zvs,aab,11,3,2021.11.15,47,11.02,44.42
aws,aab,11,3,2021.11.15,48,10.97,46.37
bws,aab,11,3,2021.11.15,49,10.88,45.05
cws,aab,11,3,2021.11.15,50,11.14,45.22
dws,aab,11,3,2021.11.15,51,10.9,43.03
ews,aab,11,3,2021.11.15,52,10.67,44.73
fws,aab,11,3,2021.11.15,53,10.93,44.49
gws,aab,11,3,2021.11.15,54,10.73,46.48
hws,aab,11,3,2021.11.15,55,10.54,44.08
iws,aab,11,3,2021.11.15,56,10.68,44.73
jws,aab,11,3,2021.11.15,57,10.58,45.7
kws,aab,11,3,2021.11.15,58,10.3,43.77
lws,aab,11,3,2021.11.15,59,10.54,44.38
mws,aab,11,3,2021.11.15,60,10.88,43.57
nws,aab,11,3,2021.11.15,61,10.5,44.09
ows,aab,11,3,2021.11.15,62,10.39,43.29
pws,aab,11,3,2021.11.15,63,10.92,44.53
qws,aab,11,3,2021.11.15,64,10.58,47.01
rws,aab,11,3,2021.11.15,65,10.04,46.36
sws,aab,11,3,2021.11.15,66,10.6,43.72
tws,aab,11,3,2021.11.15,67,10.32,44.75
uws,aab,11,3,2021.11.15,68,10.74,44.75
vws,aab,11,3,2021.11.15,69,10.09,40.93
wws,aab,11,3,2021.11.15,70,10.38,44.9
xws,aab,11,3,2021.11.15,71,10.78,46.7
yws,aab,11,3,2021.11.15,72,10.26,44.93
zws,aab,11,3,2021.11.15,73,10.33,43.21
axs,aab,11,3,2021.11.15,74,10.46,45.37
bxs,aab,11,3,2021.11.15,75,10.16,43.58
cxs,aab,11,3,2021.11.15,76,10.98,44.44
dxs,aab,11,3,2021.11.15,77,10.39,42.81
exs,aab,11,3,2021.11.15,78,10.36,43.97
fxs,aab,11,3,2021.11.15,79,10.54,44.28
gxs,aab,11,3,2021.11.15,80,9.94,45.7
hxs,aab,11,3,2021.11.15,81,10.54,44.08
ixs,aab,11,3,2021.11.15,82,10.29,45.84
jxs,aab,11,3,2021.11.15,83,11.51,44.09
kxs,aab,11,3,2021.11.15,84,10.48,46.08
lxs,aab,11,3,2021.11.15,85,9.99,42.47
mxs,aab,11,3,2021.11.15,86,10.9,44.63
nxs,aab,11,3,2021.11.15,87,9.5,42.97
oxs,aab,11,3,2021.11.15,88,10.16,45.04
pxs,aab,11,3,2021.11.15,89,10.23,43.97
qxs,aab,11,3,2021.11.15,90,10.69,43.22
rxs,aab,11,3,2021.11.15,91,9.82,44.41
sxs,aab,11,3,2021.11.15,92,10.23,45.56
txs,aab,11,3,2021.11.15,93,9.52,44.13
uxs,aab,11,3,2021.11.15,94,10.04,43.78
vxs,aab,11,3,2021.11.15,95,11,45.75
wxs,aab,11,3,2021.11.15,96,9.99,45.32
xxs,aab,11,3,2021.11.15,97,10.27,44.62
yxs,aab,11,3,2021.11.15,98,10.46,45.49
zxs,aab,11,3,2021.11.15,99,10.78,43.39
ays,aab,11,3,2021.11.15,100,9.53,41.95
bys,aab,11,4,2021.11.22,1,10.49,47.55
cys,aab,11,4,2021.11.22,2,11.53,53.57
dys,aab,11,4,2021.11.22,3,10.9,52.22
eys,aab,11,4,2021.11.22,4,11.37,53.29
fys,aab,11,4,2021.11.22,5,10.09,51.32
gys,aab,11,4,2021.11.22,6,12.7,52.04
hys,aab,11,4,2021.11.22,7,12.7,49.11
iys,aab,11,4,2021.11.22,8,11.18,53.92
jys,aab,11,4,2021.11.22,9,10.83,56.48
kys,aab,11,4,2021.11.22,10,10.7,52.55
lys,aab,11,4,2021.11.22,11,10.63,54.47
mys,aab,11,4,2021.11.22,12,10.47,56.34
nys,aab,11,4,2021.11.22,13,10.53,56.32
oys,aab,11,4,2021.11.22,14,10.62,49.93
pys,aab,11,4,2021.11.22,15,10.28,52.74
qys,aab,11,4,2021.11.22,16,10.56,54.07
rys,aab,11,4,2021.11.22,17,10.39,51.49
sys,aab,11,4,2021.11.22,18,9.53,55.39
tys,aab,11,4,2021.11.22,19,10.44,51.49
uys,aab,11,4,2021.11.22,20,10.72,53.53
vys,aab,11,4,2021.11.22,21,10.57,53.4
wys,aab,11,4,2021.11.22,22,10.46,57
xys,aab,11,4,2021.11.22,23,10.8,54.74
yys,aab,11,4,2021.11.22,24,10.83,56.61
zys,aab,11,4,2021.11.22,25,10.41,47.57
azs,aab,11,4,2021.11.22,26,11.21,51.15
bzs,aab,11,4,2021.11.22,27,11.33,47.82
czs,aab,11,4,2021.11.22,28,10.29,52.9
dzs,aab,11,4,2021.11.22,29,10.6,54.52
ezs,aab,11,4,2021.11.22,30,10.56,53.84
fzs,aab,11,4,2021.11.22,31,10.67,51.9
gzs,aab,11,4,2021.11.22,32,10.41,53.42
hzs,aab,11,4,2021.11.22,33,10.73,50.99
izs,aab,11,4,2021.11.22,34,10.52,52.03
jzs,aab,11,4,2021.11.22,35,10.02,57.09
kzs,aab,11,4,2021.11.22,36,10.29,52.3
lzs,aab,11,4,2021.11.22,37,9.82,50.22
mzs,aab,11,4,2021.11.22,38,9.33,49.32
nzs,aab,11,4,2021.11.22,39,10.56,57.7
ozs,aab,11,4,2021.11.22,40,10.52,50.77
pzs,aab,11,4,2021.11.22,41,10.57,50.16
qzs,aab,11,4,2021.11.22,42,10.5,50.92
rzs,aab,11,4,2021.11.22,43,10.5,53
szs,aab,11,4,2021.11.22,44,10.44,49.77
tzs,aab,11,4,2021.11.22,45,10.52,50.56
uzs,aab,11,4,2021.11.22,46,11.02,52.39
vzs,aab,11,4,2021.11.22,47,10.99,55.2
wzs,aab,11,4,2021.11.22,48,10.51,48.22
xzs,aab,11,4,2021.11.22,49,10.51,49.46
yzs,aab,11,4,2021.11.22,50,10.4,53.53
zzs,aab,11,4,2021.11.22,51,10.64,54.43
aat,aab,11,4,2021.11.22,52,10.21,51.1
bat,aab,11,4,2021.11.22,53,10.46,49.72
cat,aab,11,4,2021.11.22,54,10.57,47.87
dat,aab,11,4,2021.11.22,55,9.83,56.86
eat,aab,11,4,2021.11.22,56,10.34,53.67
fat,aab,11,4,2021.11.22,57,10.82,51.06
gat,aab,11,4,2021.11.22,58,10.53,51.91
hat,aab,11,4,2021.11.22,59,10.46,51.28
iat,aab,11,4,2021.11.22,60,10.19,53.87
jat,aab,11,4,2021.11.22,61,10.67,51.13
kat,aab,11,4,2021.11.22,62,10.66,51.64
lat,aab,11,4,2021.11.22,63,10.6,52.67
mat,aab,11,4,2021.11.22,64,10.4,55.69
nat,aab,11,4,2021.11.22,65,10.69,51.92
oat,aab,11,4,2021.11.22,66,10.36,49.61
pat,aab,11,4,2021.11.22,67,10.36,50.57
qat,aab,11,4,2021.11.22,68,10.3,55.81
rat,aab,11,4,2021.11.22,69,10.54,50.51
sat,aab,11,4,2021.11.22,70,10.69,51.04
tat,aab,11,4,2021.11.22,71,9.41,57.48
uat,aab,11,4,2021.11.22,72,9.48,53.03
vat,aab,11,4,2021.11.22,73,10.57,55.3
wat,aab,11,4,2021.11.22,74,10.41,52.62
xat,aab,11,4,2021.11.22,75,10.42,50.25
yat,aab,11,4,2021.11.22,76,10.77,53.93
zat,aab,11,4,2021.11.22,77,10.19,52.64
abt,aab,11,4,2021.11.22,78,10.47,53.39
bbt,aab,11,4,2021.11.22,79,9.56,53.24
cbt,aab,11,4,2021.11.22,80,9.43,51.85
dbt,aab,11,4,2021.11.22,81,9.59,50.19
ebt,aab,11,4,2021.11.22,82,9.4,52.18
fbt,aab,11,4,2021.11.22,83,9.36,52.18
gbt,aab,11,4,2021.11.22,84,9.59,52.45
hbt,aab,11,4,2021.11.22,85,10.51,53.85
ibt,aab,11,4,2021.11.22,86,10.23,52.16
jbt,aab,11,4,2021.11.22,87,10.51,54.62
kbt,aab,11,4,2021.11.22,88,10.46,52.71
lbt,aab,11,4,2021.11.22,89,10.53,51.14
mbt,aab,11,4,2021.11.22,90,10.68,51.46
nbt,aab,11,4,2021.11.22,91,10.52,52.3
obt,aab,11,4,2021.11.22,92,10.31,55.68
pbt,aab,11,4,2021.11.22,93,10.81,53.6
qbt,aab,11,4,2021.11.22,94,10.48,55.73
rbt,aab,11,4,2021.11.22,95,9.9,55.18
sbt,aab,11,4,2021.11.22,96,10.08,51.84
tbt,aab,11,4,2021.11.22,97,9.9,59.18
ubt,aab,11,4,2021.11.22,98,10.6,51.21
vbt,aab,11,4,2021.11.22,99,10.33,50.92
wbt,aab,11,4,2021.11.22,100,10.6,52.42
knf,abb,10,4,2021.10.21,1,10.38,63.89
lnf,abb,10,4,2021.10.21,2,10.59,65.22
mnf,abb,10,4,2021.10.21,3,12.7,62.21
nnf,abb,10,4,2021.10.21,4,11,64.49
onf,abb,10,4,2021.10.21,5,9.92,66.69
pnf,abb,10,4,2021.10.21,6,10.26,63.83
qnf,abb,10,4,2021.10.21,7,9.74,63.8
rnf,abb,10,4,2021.10.21,8,9.79,62.75
snf,abb,10,4,2021.10.21,9,10.17,58.21
tnf,abb,10,4,2021.10.21,10,11.18,60.5
unf,abb,10,4,2021.10.21,11,11.56,66.44
vnf,abb,10,4,2021.10.21,12,10.39,65.54
wnf,abb,10,4,2021.10.21,13,10.87,65.98
xnf,abb,10,4,2021.10.21,14,10.97,62.8
ynf,abb,10,4,2021.10.21,15,11.68,66.85
znf,abb,10,4,2021.10.21,16,13.43,66.58
aof,abb,10,4,2021.10.21,17,10.68,61.32
bof,abb,10,4,2021.10.21,18,14.53,65.07
cof,abb,10,4,2021.10.21,19,11.82,63.83
dof,abb,10,4,2021.10.21,20,10.12,63.52
eof,abb,10,4,2021.10.21,21,10.41,61.9
fof,abb,10,4,2021.10.21,22,11.51,68.1
gof,abb,10,4,2021.10.21,23,10.74,64.49
hof,abb,10,4,2021.10.21,24,12.81,63.73
iof,abb,10,4,2021.10.21,25,10.01,61.74
jof,abb,10,4,2021.10.21,26,11.33,61.03
kof,abb,10,4,2021.10.21,27,10.72,64.24
lof,abb,10,4,2021.10.21,28,9.94,61.12
mof,abb,10,4,2021.10.21,29,9.89,60.12
nof,abb,10,4,2021.10.21,30,11.33,62.83
oof,abb,10,4,2021.10.21,31,10.19,63.72
pof,abb,10,4,2021.10.21,32,12.67,60.64
qof,abb,10,4,2021.10.21,33,11.34,61.9
rof,abb,10,4,2021.10.21,34,9.86,66.4
sof,abb,10,4,2021.10.21,35,10.38,63.24
tof,abb,10,4,2021.10.21,36,11.18,65.66
uof,abb,10,4,2021.10.21,37,10.24,65.64
vof,abb,10,4,2021.10.21,38,9.88,60.63
wof,abb,10,4,2021.10.21,39,9.76,59.01
xof,abb,10,4,2021.10.21,40,9.12,67.15
yof,abb,10,4,2021.10.21,41,10.34,64.29
zof,abb,10,4,2021.10.21,42,9.68,64.2
apf,abb,10,4,2021.10.21,43,9.59,57.58
bpf,abb,10,4,2021.10.21,44,8.88,65.84
cpf,abb,10,4,2021.10.21,45,9.98,58.7
dpf,abb,10,4,2021.10.21,46,10.37,58.4
epf,abb,10,4,2021.10.21,47,10.8,59.45
fpf,abb,10,4,2021.10.21,48,9.62,66.86
gpf,abb,10,4,2021.10.21,49,9.13,66.78
hpf,abb,10,4,2021.10.21,50,8.77,62.17
ipf,abb,10,4,2021.10.21,51,9.37,65.21
jpf,abb,10,4,2021.10.21,52,8.88,60.42
kpf,abb,10,4,2021.10.21,53,8.24,61.15
lpf,abb,10,4,2021.10.21,54,9.3,61.83
mpf,abb,10,4,2021.10.21,55,10.04,63.43
npf,abb,10,4,2021.10.21,56,10.14,63.18
opf,abb,10,4,2021.10.21,57,11.14,65.83
ppf,abb,10,4,2021.10.21,58,9.49,59.36
qpf,abb,10,4,2021.10.21,59,8.78,58.95
rpf,abb,10,4,2021.10.21,60,8.66,68.74
spf,abb,10,4,2021.10.21,61,10.2,63.79
tpf,abb,10,4,2021.10.21,62,9.72,62.22
upf,abb,10,4,2021.10.21,63,8.74,63.64
vpf,abb,10,4,2021.10.21,64,8.77,63.93
wpf,abb,10,4,2021.10.21,65,9.47,63.4
xpf,abb,10,4,2021.10.21,66,8.54,63.48
ypf,abb,10,4,2021.10.21,67,10.12,64.84
zpf,abb,10,4,2021.10.21,68,9.37,56.89
aqf,abb,10,4,2021.10.21,69,8.19,64.11
bqf,abb,10,4,2021.10.21,70,9.72,61.31
cqf,abb,10,4,2021.10.21,71,9.27,65.89
dqf,abb,10,4,2021.10.21,72,11.11,63.92
eqf,abb,10,4,2021.10.21,73,11.08,66.66
fqf,abb,10,4,2021.10.21,74,11.38,62.7
gqf,abb,10,4,2021.10.21,75,8.46,61.68
hqf,abb,10,4,2021.10.21,76,9.9,65.18
iqf,abb,10,4,2021.10.21,77,9.82,59.44
jqf,abb,10,4,2021.10.21,78,10.01,62.98
kqf,abb,10,4,2021.10.21,79,8.03,63.33
lqf,abb,10,4,2021.10.21,80,8.7,65.47
mqf,abb,10,4,2021.10.21,81,8.56,61.61
nqf,abb,10,4,2021.10.21,82,8.49,61.88
oqf,abb,10,4,2021.10.21,83,9.12,64.9
pqf,abb,10,4,2021.10.21,84,9.13,56.58
qqf,abb,10,4,2021.10.21,85,9.77,63.66
rqf,abb,10,4,2021.10.21,86,9.26,63.89
sqf,abb,10,4,2021.10.21,87,9.18,60.8
tqf,abb,10,4,2021.10.21,88,9.72,65.68
uqf,abb,10,4,2021.10.21,89,8.87,64.46
vqf,abb,10,4,2021.10.21,90,10.36,60.88
wqf,abb,10,4,2021.10.21,91,9.13,61.17
xqf,abb,10,4,2021.10.21,92,10.21,64.17
yqf,abb,10,4,2021.10.21,93,9.46,57.65
zqf,abb,10,4,2021.10.21,94,9.97,61.99
arf,abb,10,4,2021.10.21,95,10.27,68
brf,abb,10,4,2021.10.21,96,9.98,65.28
crf,abb,10,4,2021.10.21,97,10.53,64.93
drf,abb,10,4,2021.10.21,98,10.23,64.32
erf,abb,10,4,2021.10.21,99,10.52,67.44
frf,abb,10,4,2021.10.21,100,10.37,56.06
cvf,abb,11,1,2021.11.5,1,9.67,57.87
dvf,abb,11,1,2021.11.5,2,9.66,57.88
evf,abb,11,1,2021.11.5,3,9.91,55.44
fvf,abb,11,1,2021.11.5,4,9.37,57.54
gvf,abb,11,1,2021.11.5,5,9.88,59.79
hvf,abb,11,1,2021.11.5,6,10.04,57.26
ivf,abb,11,1,2021.11.5,7,9.99,57.56
jvf,abb,11,1,2021.11.5,8,10.12,60.9
kvf,abb,11,1,2021.11.5,9,9.83,59.06
