position_id,citrus_id,farm_id,position,brix,size,researched_month,researched_week,researched_at,tag_no
123,41,bab,low,8.13,71.18,10,3,2021-10-15,41
124,42,bab,high,9.13,72.27,10,3,2021-10-15,42
125,42,bab,middle,10.03,62.11,10,3,2021-10-15,42
126,42,bab,low,9.63,59.88,10,3,2021-10-15,42
127,43,bab,high,9.7,65.06,10,3,2021-10-15,43
128,43,bab,middle,10.03,76.52,10,3,2021-10-15,43
129,43,bab,low,9.07,66.25,10,3,2021-10-15,43
130,44,bab,high,8.3,61.96,10,3,2021-10-15,44
131,44,bab,middle,9.73,64.54,10,3,2021-10-15,44
132,44,bab,low,8.47,58.19,10,3,2021-10-15,44
133,45,bab,high,10.1,60.28,10,3,2021-10-15,45
134,45,bab,middle,10.63,71.34,10,3,2021-10-15,45
135,45,bab,low,10.23,71.81,10,3,2021-10-15,45
136,46,bab,high,10.7,58.72,10,3,2021-10-15,46
137,46,bab,middle,10.5,61.31,10,3,2021-10-15,46
138,46,bab,low,9.9,61.18,10,3,2021-10-15,46
139,47,bab,high,10,63.82,10,3,2021-10-15,47
140,47,bab,middle,10.43,60.93,10,3,2021-10-15,47
141,47,bab,low,10.73,66.17,10,3,2021-10-15,47
142,48,bab,high,10.07,65.82,10,3,2021-10-15,48
143,48,bab,middle,9.57,62.09,10,3,2021-10-15,48
144,48,bab,low,9.7,67.33,10,3,2021-10-15,48
145,49,bab,high,9.13,65.22,10,3,2021-10-15,49
146,49,bab,middle,9.9,74.71,10,3,2021-10-15,49
147,49,bab,low,10.53,68.29,10,3,2021-10-15,49
148,50,bab,high,9.17,60.59,10,3,2021-10-15,50
149,50,bab,middle,10.27,58.01,10,3,2021-10-15,50
150,50,bab,low,9.53,69.19,10,3,2021-10-15,50
151,51,bab,high,9.8,67.86,10,3,2021-10-15,51
152,51,bab,middle,9.6,73.74,10,3,2021-10-15,51
153,51,bab,low,9.6,70.42,10,3,2021-10-15,51
154,52,bab,high,10.3,64.66,10,3,2021-10-15,52
155,52,bab,middle,10.73,67.13,10,3,2021-10-15,52
156,52,bab,low,10.77,70.06,10,3,2021-10-15,52
157,53,bab,high,9.6,64.76,10,3,2021-10-15,53
158,53,bab,middle,10.1,59.19,10,3,2021-10-15,53
159,53,bab,low,10.27,68.49,10,3,2021-10-15,53
160,54,bab,high,10.17,69.11,10,3,2021-10-15,54
161,54,bab,middle,9.7,63.66,10,3,2021-10-15,54
162,54,bab,low,9.87,58.66,10,3,2021-10-15,54
163,55,bab,high,12.4,64.26,10,3,2021-10-15,55
164,55,bab,middle,11.33,69.1,10,3,2021-10-15,55
165,55,bab,low,10.97,75.69,10,3,2021-10-15,55
166,56,bab,high,9.83,69.81,10,3,2021-10-15,56
167,56,bab,middle,10.43,58.72,10,3,2021-10-15,56
168,56,bab,low,8.1,62.92,10,3,2021-10-15,56
169,57,bab,high,8.93,73.22,10,3,2021-10-15,57
170,57,bab,middle,9,65.81,10,3,2021-10-15,57
171,57,bab,low,9.3,60.67,10,3,2021-10-15,57
172,58,bab,high,9.53,70.99,10,3,2021-10-15,58
173,58,bab,middle,10.47,59.51,10,3,2021-10-15,58
174,58,bab,low,9.43,67.54,10,3,2021-10-15,58
175,59,bab,high,10.33,59.56,10,3,2021-10-15,59
176,59,bab,middle,12,65.17,10,3,2021-10-15,59
177,59,bab,low,10.9,63.85,10,3,2021-10-15,59
178,60,bab,high,10.83,59.16,10,3,2021-10-15,60
179,60,bab,middle,10.4,69.15,10,3,2021-10-15,60
180,60,bab,low,11.53,58.21,10,3,2021-10-15,60
181,61,bab,high,9.73,60.05,10,3,2021-10-15,61
182,61,bab,middle,10.4,75.54,10,3,2021-10-15,61
183,61,bab,low,10.47,63.38,10,3,2021-10-15,61
184,62,bab,high,11.4,66.94,10,3,2021-10-15,62
185,62,bab,middle,10.77,71.06,10,3,2021-10-15,62
186,62,bab,low,10.33,76.63,10,3,2021-10-15,62
187,63,bab,high,11.97,73.29,10,3,2021-10-15,63
188,63,bab,middle,13.6,71.72,10,3,2021-10-15,63
189,63,bab,low,11.87,68.83,10,3,2021-10-15,63
190,64,bab,high,13.43,60.82,10,3,2021-10-15,64
191,64,bab,middle,12.33,76.39,10,3,2021-10-15,64
192,64,bab,low,12.77,58.09,10,3,2021-10-15,64
193,65,bab,high,10.33,70.55,10,3,2021-10-15,65
194,65,bab,middle,11.33,68.74,10,3,2021-10-15,65
195,65,bab,low,10.17,67.23,10,3,2021-10-15,65
196,66,bab,high,10.87,72.53,10,3,2021-10-15,66
197,66,bab,middle,10.67,61.55,10,3,2021-10-15,66
198,66,bab,low,11.9,57.78,10,3,2021-10-15,66
199,67,bab,high,10.77,65.57,10,3,2021-10-15,67
200,67,bab,middle,11.07,70.86,10,3,2021-10-15,67
201,67,bab,low,10.6,67.05,10,3,2021-10-15,67
202,68,bab,high,10.8,72.11,10,3,2021-10-15,68
203,68,bab,middle,9.87,73.61,10,3,2021-10-15,68
204,68,bab,low,9.33,59.52,10,3,2021-10-15,68
205,69,bab,high,12.2,63.48,10,3,2021-10-15,69
206,69,bab,middle,11.43,64.13,10,3,2021-10-15,69
207,69,bab,low,12.13,58.97,10,3,2021-10-15,69
208,70,bab,high,11.3,73.96,10,3,2021-10-15,70
209,70,bab,middle,10.83,58.33,10,3,2021-10-15,70
210,70,bab,low,12.03,59.51,10,3,2021-10-15,70
211,71,bab,high,11.47,64.35,10,3,2021-10-15,71
212,71,bab,middle,10.73,73.73,10,3,2021-10-15,71
213,71,bab,low,11.03,64.79,10,3,2021-10-15,71
214,72,bab,high,9.57,67.14,10,3,2021-10-15,72
215,72,bab,middle,9.07,60.82,10,3,2021-10-15,72
216,72,bab,low,8.87,73.92,10,3,2021-10-15,72
217,73,bab,high,9.43,67.24,10,3,2021-10-15,73
218,73,bab,middle,9.9,65.96,10,3,2021-10-15,73
219,73,bab,low,10.57,68.81,10,3,2021-10-15,73
220,74,bab,high,11.53,74.03,10,3,2021-10-15,74
221,74,bab,middle,11.97,74.2,10,3,2021-10-15,74
222,74,bab,low,11.97,64.6,10,3,2021-10-15,74
223,75,bab,high,11.2,72.96,10,3,2021-10-15,75
224,75,bab,middle,11.37,73.22,10,3,2021-10-15,75
225,75,bab,low,12.23,68.07,10,3,2021-10-15,75
226,76,bab,high,9.07,57.67,10,3,2021-10-15,76
227,76,bab,middle,9.43,61.9,10,3,2021-10-15,76
228,76,bab,low,9.07,74.39,10,3,2021-10-15,76
229,77,bab,high,9.67,58.57,10,3,2021-10-15,77
230,77,bab,middle,10.07,58.42,10,3,2021-10-15,77
231,77,bab,low,9.6,75.03,10,3,2021-10-15,77
232,78,bab,high,10.37,74.75,10,3,2021-10-15,78
233,78,bab,middle,9.93,76.26,10,3,2021-10-15,78
234,78,bab,low,9.67,68.72,10,3,2021-10-15,78
235,79,bab,high,10,75.1,10,3,2021-10-15,79
236,79,bab,middle,10.2,61.02,10,3,2021-10-15,79
237,79,bab,low,10.53,74.73,10,3,2021-10-15,79
238,80,bab,high,10.43,63.18,10,3,2021-10-15,80
239,80,bab,middle,10.23,62.76,10,3,2021-10-15,80
240,80,bab,low,10.57,69.08,10,3,2021-10-15,80
241,81,bab,high,11.4,63.33,10,3,2021-10-15,81
242,81,bab,middle,11.73,60.8,10,3,2021-10-15,81
243,81,bab,low,10.43,75.95,10,3,2021-10-15,81
244,82,bab,high,11.07,70.6,10,3,2021-10-15,82
245,82,bab,middle,10.93,67.28,10,3,2021-10-15,82
246,82,bab,low,11.57,64.95,10,3,2021-10-15,82
247,83,bab,high,9.67,65.66,10,3,2021-10-15,83
248,83,bab,middle,10.5,71.84,10,3,2021-10-15,83
249,83,bab,low,9.7,69.92,10,3,2021-10-15,83
250,84,bab,high,11.3,68.53,10,3,2021-10-15,84
251,84,bab,middle,11.5,63.91,10,3,2021-10-15,84
252,84,bab,low,11.43,63.04,10,3,2021-10-15,84
253,85,bab,high,11.97,68.27,10,3,2021-10-15,85
254,85,bab,middle,12.13,73.72,10,3,2021-10-15,85
255,85,bab,low,12.6,67.91,10,3,2021-10-15,85
256,86,bab,high,10.37,72.15,10,3,2021-10-15,86
257,86,bab,middle,10.77,68.46,10,3,2021-10-15,86
258,86,bab,low,10.4,66.99,10,3,2021-10-15,86
259,87,bab,high,10.9,76.11,10,3,2021-10-15,87
260,87,bab,middle,10.2,67.4,10,3,2021-10-15,87
261,87,bab,low,11.1,73.48,10,3,2021-10-15,87
262,88,bab,high,9.6,74.93,10,3,2021-10-15,88
263,88,bab,middle,9.67,62.94,10,3,2021-10-15,88
264,88,bab,low,10.3,61.14,10,3,2021-10-15,88
265,89,bab,high,10.53,75.88,10,3,2021-10-15,89
266,89,bab,middle,9.63,70.72,10,3,2021-10-15,89
267,89,bab,low,9.87,59.7,10,3,2021-10-15,89
268,90,bab,high,10,61.6,10,3,2021-10-15,90
269,90,bab,middle,10.33,60.76,10,3,2021-10-15,90
270,90,bab,low,9.93,64.54,10,3,2021-10-15,90
271,91,bab,high,10.8,75.47,10,3,2021-10-15,91
272,91,bab,middle,9.97,58.75,10,3,2021-10-15,91
273,91,bab,low,10.4,67.18,10,3,2021-10-15,91
274,92,bab,high,11.37,64.18,10,3,2021-10-15,92
275,92,bab,middle,11.1,67.33,10,3,2021-10-15,92
276,92,bab,low,10.2,72,10,3,2021-10-15,92
277,93,bab,high,11.27,67.59,10,3,2021-10-15,93
278,93,bab,middle,11.2,75.17,10,3,2021-10-15,93
279,93,bab,low,10.9,74.53,10,3,2021-10-15,93
280,94,bab,high,8.3,70.72,10,3,2021-10-15,94
281,94,bab,middle,8.83,70.33,10,3,2021-10-15,94
282,94,bab,low,8.57,71.83,10,3,2021-10-15,94
283,95,bab,high,10.1,58.78,10,3,2021-10-15,95
284,95,bab,middle,8.9,67.03,10,3,2021-10-15,95
285,95,bab,low,9.17,72.31,10,3,2021-10-15,95
286,96,bab,high,9.83,59.37,10,3,2021-10-15,96
287,96,bab,middle,9.4,58.87,10,3,2021-10-15,96
288,96,bab,low,10.07,74.36,10,3,2021-10-15,96
289,97,bab,high,9.9,66.27,10,3,2021-10-15,97
290,97,bab,middle,9.93,73.84,10,3,2021-10-15,97
291,97,bab,low,10.1,67.79,10,3,2021-10-15,97
292,98,bab,high,9.1,59.12,10,3,2021-10-15,98
293,98,bab,middle,10.1,70.63,10,3,2021-10-15,98
294,98,bab,low,9.53,58.94,10,3,2021-10-15,98
295,99,bab,high,9.97,76.27,10,3,2021-10-15,99
296,99,bab,middle,10.13,69.69,10,3,2021-10-15,99
297,99,bab,low,9.23,59.53,10,3,2021-10-15,99
298,100,bab,high,9.2,69.48,10,3,2021-10-15,100
299,100,bab,middle,9.33,60.85,10,3,2021-10-15,100
300,100,bab,low,8.5,67.76,10,3,2021-10-15,100
301,101,bab,high,11.2,53.94,10,4,2021-10-22,1
302,101,bab,middle,10.67,53.8,10,4,2021-10-22,1
303,101,bab,low,10.6,54.02,10,4,2021-10-22,1
304,102,bab,high,11.13,56.46,10,4,2021-10-22,2
305,102,bab,middle,10.23,64.27,10,4,2021-10-22,2
306,102,bab,low,9.93,58.7,10,4,2021-10-22,2
307,103,bab,high,9.47,62.84,10,4,2021-10-22,3
308,103,bab,middle,9.2,58.34,10,4,2021-10-22,3
309,103,bab,low,9.13,55.06,10,4,2021-10-22,3
310,104,bab,high,10.33,60.93,10,4,2021-10-22,4
311,104,bab,middle,10.93,63.23,10,4,2021-10-22,4
312,104,bab,low,10.43,55.85,10,4,2021-10-22,4
313,105,bab,high,10.47,60.35,10,4,2021-10-22,5
314,105,bab,middle,11,53.04,10,4,2021-10-22,5
315,105,bab,low,10.6,64.03,10,4,2021-10-22,5
316,106,bab,high,10.63,58.85,10,4,2021-10-22,6
317,106,bab,middle,11.13,63.43,10,4,2021-10-22,6
318,106,bab,low,10.87,62.95,10,4,2021-10-22,6
319,107,bab,high,10.8,55.37,10,4,2021-10-22,7
320,107,bab,middle,10.63,56.57,10,4,2021-10-22,7
321,107,bab,low,10.13,59.66,10,4,2021-10-22,7
322,108,bab,high,9.63,60.6,10,4,2021-10-22,8
323,108,bab,middle,9.5,61.46,10,4,2021-10-22,8
324,108,bab,low,9.53,58.55,10,4,2021-10-22,8
325,109,bab,high,9.23,55.99,10,4,2021-10-22,9
326,109,bab,middle,9.4,62.02,10,4,2021-10-22,9
327,109,bab,low,9.33,53.97,10,4,2021-10-22,9
328,110,bab,high,11.23,62.5,10,4,2021-10-22,10
329,110,bab,middle,10.83,53.26,10,4,2021-10-22,10
330,110,bab,low,11.6,53.91,10,4,2021-10-22,10
331,111,bab,high,10.13,56.6,10,4,2021-10-22,11
332,111,bab,middle,9.93,52.99,10,4,2021-10-22,11
333,111,bab,low,9.6,57.83,10,4,2021-10-22,11
334,112,bab,high,9.57,54.18,10,4,2021-10-22,12
335,112,bab,middle,9.1,62.76,10,4,2021-10-22,12
336,112,bab,low,9.03,56.87,10,4,2021-10-22,12
337,113,bab,high,9.5,59.45,10,4,2021-10-22,13
338,113,bab,middle,9.43,62.75,10,4,2021-10-22,13
339,113,bab,low,9.1,61.05,10,4,2021-10-22,13
340,114,bab,high,10.47,56.35,10,4,2021-10-22,14
341,114,bab,middle,9.33,56.45,10,4,2021-10-22,14
342,114,bab,low,8.93,52.9,10,4,2021-10-22,14
343,115,bab,high,8.87,61.91,10,4,2021-10-22,15
344,115,bab,middle,9.03,62.67,10,4,2021-10-22,15
345,115,bab,low,9.5,53.85,10,4,2021-10-22,15
346,116,bab,high,10,58.91,10,4,2021-10-22,16
347,116,bab,middle,10,57.36,10,4,2021-10-22,16
348,116,bab,low,10.23,58.29,10,4,2021-10-22,16
349,117,bab,high,10.67,63.15,10,4,2021-10-22,17
350,117,bab,middle,9.73,60.76,10,4,2021-10-22,17
351,117,bab,low,9.97,54.6,10,4,2021-10-22,17
352,118,bab,high,10,63.25,10,4,2021-10-22,18
353,118,bab,middle,9.4,52.79,10,4,2021-10-22,18
354,118,bab,low,9.07,57.7,10,4,2021-10-22,18
355,119,bab,high,10.77,56.17,10,4,2021-10-22,19
356,119,bab,middle,10.97,56.35,10,4,2021-10-22,19
357,119,bab,low,10.7,60.43,10,4,2021-10-22,19
358,120,bab,high,11.07,55.79,10,4,2021-10-22,20
359,120,bab,middle,10.33,60.27,10,4,2021-10-22,20
360,120,bab,low,11.53,52.78,10,4,2021-10-22,20
361,121,bab,high,9.63,61.55,10,4,2021-10-22,21
362,121,bab,middle,10.83,56.32,10,4,2021-10-22,21
363,121,bab,low,10.13,64.4,10,4,2021-10-22,21
364,122,bab,high,10.47,59.79,10,4,2021-10-22,22
365,122,bab,middle,10.97,57.21,10,4,2021-10-22,22
366,122,bab,low,10.3,58.22,10,4,2021-10-22,22
367,123,bab,high,10.53,56.97,10,4,2021-10-22,23
368,123,bab,middle,9.83,64.16,10,4,2021-10-22,23
369,123,bab,low,10.9,61.96,10,4,2021-10-22,23
370,124,bab,high,11.27,60.63,10,4,2021-10-22,24
371,124,bab,middle,10.73,64.1,10,4,2021-10-22,24
372,124,bab,low,11,54.48,10,4,2021-10-22,24
373,125,bab,high,10.77,62.18,10,4,2021-10-22,25
374,125,bab,middle,10.97,55.13,10,4,2021-10-22,25
375,125,bab,low,12.07,58.16,10,4,2021-10-22,25
376,126,bab,high,10.9,62.95,10,4,2021-10-22,26
377,126,bab,middle,10.23,58.88,10,4,2021-10-22,26
378,126,bab,low,10.9,58.33,10,4,2021-10-22,26
379,127,bab,high,10.97,57.77,10,4,2021-10-22,27
380,127,bab,middle,10.3,57.18,10,4,2021-10-22,27
381,127,bab,low,11.2,55.99,10,4,2021-10-22,27
382,128,bab,high,11.1,55.95,10,4,2021-10-22,28
383,128,bab,middle,9.97,64.55,10,4,2021-10-22,28
384,128,bab,low,10.87,55.72,10,4,2021-10-22,28
385,129,bab,high,10.4,62.7,10,4,2021-10-22,29
386,129,bab,middle,10.9,56.99,10,4,2021-10-22,29
387,129,bab,low,10.5,54.28,10,4,2021-10-22,29
388,130,bab,high,12,55.31,10,4,2021-10-22,30
389,130,bab,middle,11.63,61.8,10,4,2021-10-22,30
390,130,bab,low,11.57,53.29,10,4,2021-10-22,30
391,131,bab,high,11.83,58.97,10,4,2021-10-22,31
392,131,bab,middle,12.53,59.88,10,4,2021-10-22,31
393,131,bab,low,11.27,57.8,10,4,2021-10-22,31
394,132,bab,high,9.97,63.1,10,4,2021-10-22,32
395,132,bab,middle,9.87,53.91,10,4,2021-10-22,32
396,132,bab,low,10.83,57.54,10,4,2021-10-22,32
397,133,bab,high,10,59.9,10,4,2021-10-22,33
398,133,bab,middle,10.43,57.3,10,4,2021-10-22,33
399,133,bab,low,10.13,63.77,10,4,2021-10-22,33
400,134,bab,high,9.17,59.73,10,4,2021-10-22,34
401,134,bab,middle,9.93,57.93,10,4,2021-10-22,34
402,134,bab,low,10,61.17,10,4,2021-10-22,34
403,135,bab,high,10.03,62.43,10,4,2021-10-22,35
404,135,bab,middle,10.4,58.83,10,4,2021-10-22,35
405,135,bab,low,9.6,63.23,10,4,2021-10-22,35
406,136,bab,high,11.3,55.81,10,4,2021-10-22,36
407,136,bab,middle,10.6,61.29,10,4,2021-10-22,36
408,136,bab,low,9.4,58.07,10,4,2021-10-22,36
409,137,bab,high,8.47,55.17,10,4,2021-10-22,37
410,137,bab,middle,7.73,55.4,10,4,2021-10-22,37
411,137,bab,low,9.07,57.19,10,4,2021-10-22,37
412,138,bab,high,9.73,62.66,10,4,2021-10-22,38
413,138,bab,middle,9.23,59.48,10,4,2021-10-22,38
414,138,bab,low,9.37,63.93,10,4,2021-10-22,38
415,139,bab,high,9.27,61.29,10,4,2021-10-22,39
416,139,bab,middle,10.2,63.61,10,4,2021-10-22,39
417,139,bab,low,10.37,62.16,10,4,2021-10-22,39
418,140,bab,high,9.3,55.33,10,4,2021-10-22,40
419,140,bab,middle,9.1,55.24,10,4,2021-10-22,40
420,140,bab,low,9.4,55.59,10,4,2021-10-22,40
421,141,bab,high,8.87,57.57,10,4,2021-10-22,41
422,141,bab,middle,9.07,63.22,10,4,2021-10-22,41
423,141,bab,low,8.9,55.93,10,4,2021-10-22,41
424,142,bab,high,10.13,54.33,10,4,2021-10-22,42
425,142,bab,middle,10,54.17,10,4,2021-10-22,42
426,142,bab,low,10.57,54.19,10,4,2021-10-22,42
427,143,bab,high,10.37,55.93,10,4,2021-10-22,43
428,143,bab,middle,10.57,53.46,10,4,2021-10-22,43
429,143,bab,low,9.9,63.12,10,4,2021-10-22,43
430,144,bab,high,9.27,62.11,10,4,2021-10-22,44
431,144,bab,middle,9.53,61.37,10,4,2021-10-22,44
432,144,bab,low,9.47,61.4,10,4,2021-10-22,44
433,145,bab,high,11.13,61.63,10,4,2021-10-22,45
434,145,bab,middle,10.67,56.01,10,4,2021-10-22,45
435,145,bab,low,11.9,54.97,10,4,2021-10-22,45
436,146,bab,high,10.73,60.16,10,4,2021-10-22,46
437,146,bab,middle,10.43,61.35,10,4,2021-10-22,46
438,146,bab,low,10.03,63.8,10,4,2021-10-22,46
439,147,bab,high,10.47,55.31,10,4,2021-10-22,47
440,147,bab,middle,10.1,57.72,10,4,2021-10-22,47
441,147,bab,low,10.6,55.01,10,4,2021-10-22,47
442,148,bab,high,10.27,60.89,10,4,2021-10-22,48
443,148,bab,middle,10.17,64.31,10,4,2021-10-22,48
444,148,bab,low,10.2,53,10,4,2021-10-22,48
445,149,bab,high,10.2,63.66,10,4,2021-10-22,49
446,149,bab,middle,10.6,61.98,10,4,2021-10-22,49
447,149,bab,low,10.9,63.85,10,4,2021-10-22,49
448,150,bab,high,10.3,61.79,10,4,2021-10-22,50
449,150,bab,middle,10.2,53.06,10,4,2021-10-22,50
450,150,bab,low,10.4,53.87,10,4,2021-10-22,50
451,151,bab,high,10.27,60.58,10,4,2021-10-22,51
452,151,bab,middle,9.9,57.18,10,4,2021-10-22,51
453,151,bab,low,9.67,54.13,10,4,2021-10-22,51
454,152,bab,high,10.73,53.93,10,4,2021-10-22,52
455,152,bab,middle,10.77,60.15,10,4,2021-10-22,52
456,152,bab,low,10.17,60.08,10,4,2021-10-22,52
457,153,bab,high,9.93,55.78,10,4,2021-10-22,53
458,153,bab,middle,9.73,57.55,10,4,2021-10-22,53
459,153,bab,low,9.9,58.86,10,4,2021-10-22,53
460,154,bab,high,10.33,62.2,10,4,2021-10-22,54
